year,fe,fe_ci_ll,fe_ci_ul
1951,0.0733383429352773,-0.338479013493065,0.48515569936362
1952,-0.197120784780859,-0.60112694483587,0.206885375274152
1953,-0.0145173436685769,-0.423430067454459,0.394395380117305
1954,-0.114678750519926,-0.543460605260255,0.314103104220402
1955,-0.0188826777817369,-0.470644023916071,0.432878668352597
1956,-0.233375682588699,-0.690603341027802,0.223851975850404
1957,0.0358352178933525,-0.353460203897938,0.425130639684643
1958,-0.147473620584947,-0.58258022915738,0.287632987987486
1959,-0.14425106756533,-0.5502375163257,0.26173538119504
1960,0.0535913798427726,-0.327461145282052,0.434643904967597
1961,-0.174542033299988,-0.587279597812484,0.238195531212507
1962,-0.0778331406806757,-0.444000678174239,0.288334396812887
1963,-0.170517372434797,-0.55252510484778,0.211490359978187
1964,-0.00186599461472794,-0.380877556274203,0.377145567044747
1965,0.0319827816337298,-0.351542174294217,0.415507737561676
1966,-0.0763919807577736,-0.454824822397001,0.302040860881454
1967,0.209980409763665,-0.193177650762432,0.613138470289761
1968,0.105193029925507,-0.27957802074776,0.489964080598774
1969,-0.0453285765195178,-0.433330067279682,0.342672914240646
1970,-0.167183720410035,-0.569177504367761,0.23481006354769
1971,-0.053466714934622,-0.440928512271471,0.333995082402227
1972,0.0781486092048814,-0.300428475851244,0.456725694261007
1973,-0.0408552671675992,-0.411885433144179,0.330174898808981
1974,0.0572360800150816,-0.313793615486859,0.428265775517023
1975,0.0713893609400643,-0.302555716857789,0.445334438737918
1976,-0.0303668376809345,-0.392923221698553,0.332189546336684
1977,-0.0212579877180677,-0.384207707300822,0.341691731864687
1978,0.0753182612420879,-0.284345255409388,0.434981777893564
1979,0.0915883024128877,-0.268455725068678,0.451632329894453
1980,0.0145814665285763,-0.350220332871047,0.379383265928199
1981,0.0743648970611833,-0.294015460154668,0.442745254277034
1982,0.0419976295610022,-0.326461143637613,0.410456402759617
1983,0.17034593120751,-0.193533449857882,0.534225312272901
1984,0.0299387847624946,-0.340269670598086,0.400147240123075
1985,0.0147705191493442,-0.349319563661059,0.378860601959748
1986,0.120989947068949,-0.239165597771349,0.481145491909247
1987,0.0995125838520197,-0.261478939841356,0.460504107545395
1988,0.0659056119492335,-0.290479064244593,0.42229028814306
1989,-0.0113894953468312,-0.373523002480983,0.35074401178732
1990,0.00177419497388472,-0.359509227727936,0.363057617675705
1991,0.000821543644777178,-0.357980887227611,0.359623974517165
1992,0.0233451505076679,-0.340218733655119,0.386909034670455
1993,-0.0943149407278509,-0.457234489272728,0.268604607817026
1994,-0.0362671033381334,-0.399712606650498,0.327178399974231
1995,0.0276639461078235,-0.332523381926924,0.387851274142571
1996,0.0274959669579434,-0.331753387236057,0.386745321151944
1997,0.0171517092998326,-0.341771481421835,0.3760749000215
1998,0.00628822663730668,-0.352907792835056,0.365484246109669
1999,0.0819811123122677,-0.279178193463266,0.443140418087802
2000,-0.00361054588738511,-0.364400496590342,0.357179404815572
2001,0.016583022705169,-0.344827849752454,0.377993895162792
2002,0.0683605622055063,-0.289736870134063,0.426457994545076
2003,-0.00999357236730997,-0.367776357204832,0.347789212470213
2004,0.0760037745283014,-0.28179212111419,0.433799670170792
2005,-0.106546112177386,-0.465996645195952,0.252904420841181
2006,0.0568800434864119,-0.3016143842691,0.415374471241923
2007,0.0848070971715181,-0.27259876559746,0.442212959940497
2008,0.172265331559467,-0.184899034856196,0.529429697975129
2009,0.0874222839284227,-0.269783912225623,0.444628480082468
2010,0.00882853782636344,-0.348842178559673,0.3664992542124
2011,0.0217083779358329,-0.334699438463483,0.378116194335148
2012,0.0494530643435653,-0.306799132161017,0.405705260848148
2013,0.00867653267943835,-0.347797991184736,0.365151056543613
2014,0.0596532883364772,-0.296685212814034,0.415991789486989
2015,0.152198019275405,-0.203849200389573,0.508245238940383
2016,0.16035164121065,-0.195255548161693,0.515958830582994
2017,0.29964635637909,-0.0554588221834658,0.654751534941645
2018,0.546961752818228,0.192200717585173,0.901722788051283
2019,0.739973843989108,0.385091865784282,1.09485582219393
2020,0.727669497154551,0.372538865723235,1.08280012858587
2021,0.824553276894614,0.470185282783714,1.17892127100551
